item_id,date,description,engine,km,link,location,name,price,year
29443672,12.06.2019,"
Möchten Sie das Fahrzeug besichtigen melden Sie sich bitte vorher unter der Tel. Nr 0783427777Sie erreichen mich auch per Whatsapp und ViberParkplatz : Chliebnet 16403 Küssnacht am...
",Essence,400000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/volvo-s60-24t-awd--29443672.aspx?view=2&pi=1201&fcid=113&pr=1,Malters,VOLVO S60 2.4T AWD,990.0,2001
29443671,12.06.2019,"
Möchten Sie das Fahrzeug besichtigen melden Sie sich bitte vorher unter der Tel. Nr 0783427777 Parkplatz : Chliebnet 16403 Küssnacht am rigi    Tel : 0783427777Ausstattung:Alu...
",Diesel,211000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/nissan-x-trail-22-dci-columbia-pack-premium-4wd--29443671.aspx?view=2&pi=1201&fcid=113&pr=1,Malters,NISSAN X-Trail 2.2 DCI Columbia Pack premium 4WD,2300.0,2006
29443670,12.06.2019,"
Möchten Sie das Fahrzeug besichtigen melden Sie sich bitte vorher unter der Tel. Nr 0783427777 Parkplatz : Chliebnet 16403 Küssnacht am rigi    Tel : 0783427777Ausstattung:Man...
",Essence,205000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/opel-corsa-14-tp-sport--29443670.aspx?view=2&pi=1201&fcid=113&pr=1,Malters,OPEL Corsa 1.4 TP Sport,1990.0,2007
29443667,12.06.2019,"
Möchten Sie das Fahrzeug besichtigen melden Sie sich bitte vorher unter der Tel. Nr 0783427777 Parkplatz : Chliebnet 16403 Küssnacht am rigi    Tel : 0783427777Ausstattung:Man...
",Essence,160000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/volvo-v70-24t--29443667.aspx?view=2&pi=1201&fcid=113&pr=1,Malters,VOLVO V70 2.4T,1500.0,2000
29443666,12.06.2019,"
Möchten Sie das Fahrzeug besichtigen melden Sie sich bitte vorher unter der Tel. Nr 0783427777 Parkplatz : Chliebnet 16403 Küssnacht am rigi    Tel : 0783427777Ausstattung:Alu...
",Diesel,170000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-a-170-l-cdi-classic-piccadilly--29443666.aspx?view=2&pi=1201&fcid=113&pr=1,Malters,MERCEDES-BENZ A 170 L CDI Classic Piccadilly,1300.0,2004
29443664,12.06.2019,"
HERZLICH WILLKOMMEN BEI AUTOKLINIK24 GMBH TOP ZUSTAND (STOSSSATNFGE VORNE LINKS LEICHTE KRATZER)FRISCH AB MFK FRISCH AB SERVICE8FACH BEREIFT PROBEFAHRT UND BESICHTIGUNG JEDER...
",Essence,125068,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/bmw-330i-touring--29443664.aspx?view=2&pi=1201&fcid=113&pr=1,Aarburg,BMW 330i Touring,9500.0,2006
29443662,12.06.2019,"
KETTE DEFEKTAusstattung:StabilitätskontrolleIsofixSitzbezug Stoff
",Essence,140080,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/peugeot-207-14-access--29443662.aspx?view=2&pi=1201&fcid=113&pr=1,Wetzikon ZH,PEUGEOT 207 1.4 Access,2360.0,2012
29443661,12.06.2019,"
!!NEUER ULTIMATE!! SOFORT LIEFERBAR!!3 Jahre Werksgarantie, TOP AUSSTATTUNG!! DAB RADIO,NAVI,KLIMA,RÜCKFAHRKAMERA,TEMPOMATFarbe: Schwarz 676interieur: Stoff Ultimate Bezug!! Werks...
",Essence,50,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/dacia-logan-mcv-09-ultimate--29443661.aspx?view=2&pi=1201&fcid=113&pr=1,Neuenhof,DACIA Logan MCV 0.9 Ultimate,14290.0,2019
29443660,12.06.2019,"
Frisch ab MFK und Service, Standheizung, Navi, Leder, Panoarmadach, PDCFrisch ab MFK und Service, Standheizung, Navi, Leder, Panoarmadach, PDCAusstattung:AlufelgenElektrische Sit...
",Essence,107000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/land-rover-range-rover-42-v8-sc-automatic--29443660.aspx?view=2&pi=1201&fcid=113&pr=1,Spreitenbach,LAND ROVER Range Rover 4.2 V8 SC Automatic,16900.0,2007
29443658,12.06.2019,"
Wir sprechen DEUTSCH / Nous parlons FRANÇAIS / We speak ENGLISH VOITURE SUISSE - ETAT DE NEUF - EXPERTISÉE DU JOURSitué à La Tour-de-Trême, entre Fribourg et Vevey, Le Garage Berset...
",Hybride,61000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/toyota-auris-18-hsd-swiss-trend-e-cvt--29443658.aspx?view=2&pi=1201&fcid=113&pr=1,La Tour-de-Trême,TOYOTA Auris 1.8 HSD Swiss Trend e-CVT,17500.0,2015
