item_id,date,description,engine,km,link,location,name,price,year
28649299,13.04.2019,"
Dodge Ram 1500 Crew Cab Sport Avus Edition / Aussen: weiss / Innen: Leder schwarz / Alufelgen XD 9x20"" schwarz mit AT Pneu 305/55R20"" / Alu 20"" Original mit Winterpneu auf Wunsch für Fr....
",Essence,38800,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/dodge-ram-1500-crew-cab-sport-avus-edition--28649299.aspx?view=2&pi=4501&fcid=113&pr=1,Kägiswil,DODGE Ram 1500 Crew Cab Sport Avus Edition,38000.0,2014
28649297,13.04.2019,"
Pure Burgundy Metallic, Leder Lounge Satellite GreyCH-Fahrzeug mit Gratis Service Bei Interesse bitte Termin vereinbaren, Fahrzeug steht nicht vor Ort!Adaptives Fahrwerk, Anhänger...
",Essence,3000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mini-clubman-cooper-s-all4-steptronic--28649297.aspx?view=2&pi=4501&fcid=113&pr=1,Lucerne,MINI Clubman Cooper S ALL4 Steptronic,34900.0,2017
28649292,13.04.2019,"
Ausstattung:Eingebautes NavigationssystemStabilitätskontrolleTempomatFreisprechanlageIsofixStart-/Stop-SystemBluetooth-SchnittstelleAutomatische KlimaanlageParksensoren...
",Essence,100,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/kia-picanto-12-cvvt-power25--28649292.aspx?view=2&pi=4501&fcid=113&pr=1,St Gallen ,KIA Picanto 1.2 CVVT Power25+,17800.0,2019
28649291,13.04.2019,"
Ausstattung:Eingebautes NavigationssystemStabilitätskontrolleTempomatFreisprechanlageIsofixStart-/Stop-SystemBluetooth-SchnittstelleAutomatische KlimaanlageParksensoren...
",Essence,100,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/kia-picanto-12-cvvt-power25--28649291.aspx?view=2&pi=4501&fcid=113&pr=1,St Gallen ,KIA Picanto 1.2 CVVT Power25+,16850.0,2019
28649289,13.04.2019,"
preis 33300.- met Farbe 950.- Pack Nav. 300.- Notrad 150.- Parkhilfe mit Kamera 400.- Ablieferungspack 450.- total Neupreis 35550.- Tageseinlösung 12.2018Ausstattung:AlufelgenEin...
",Essence,100,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/renault-m%c3%a9gane-16-16v-turbo-gt-edc--28649289.aspx?view=2&pi=4501&fcid=113&pr=1,Frutigen,RENAULT Mégane 1.6 16V Turbo GT EDC,29900.0,2018
28649285,13.04.2019,"
Rabaissée, roues Rotiform 19"", Contactez-nous! Legend Motors:  079.204.14.00 / 079.645.25.40. We speak english. Wir sprechen deutsch. Falamos português. Hablamos espanol. Parliamo ita...
",Essence,33000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/vw-beetle-20-tsi-sport-dsg--28649285.aspx?view=2&pi=4501&fcid=113&pr=1,Plan-les-Ouates,VW Beetle 2.0 TSI Sport DSG,19900.0,2012
28649284,13.04.2019,"
Sparsamer, gepflegter Familien- Van, Automat (DSG), Navigation, 7 Plätze, etc*Sondermodell 65th Edition*7 SitzplätzeFrisch ab MFKAMAG ServicegepflegtAutomat (DSG)TempomatNa...
",Diesel,83500,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/vw-touran-16-tdi-bmt-65th-edition-dsg--28649284.aspx?view=2&pi=4501&fcid=113&pr=1,Oberrohrdorf,VW Touran 1.6 TDI BMT 65th Edition DSG,14850.0,2014
28649281,13.04.2019,"
Ausstattung:AlufelgenEingebautes NavigationssystemSitzheizungStabilitätskontrolleTempomatFreisprechanlageIsofixKurvenlichtStart-/Stop-SystemBluetooth-SchnittstelleA...
",Essence,100,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/kia-ceed-10-t-gdi-power-25--28649281.aspx?view=2&pi=4501&fcid=113&pr=1,St Gallen ,KIA Ceed 1.0 T-GDi Power 25,25250.0,2019
28649280,13.04.2019,"
Ausstattung:AlufelgenEingebautes NavigationssystemSitzheizungStabilitätskontrolleTempomatFreisprechanlageIsofixKurvenlichtStart-/Stop-SystemBluetooth-SchnittstelleA...
",Essence,100,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/kia-ceed-10-t-gdi-power-25--28649280.aspx?view=2&pi=4501&fcid=113&pr=1,St Gallen ,KIA Ceed 1.0 T-GDi Power 25,25250.0,2019
28649279,13.04.2019,"
Ausstattung:AlufelgenElektrische SitzverstellungParkhilfeSitzbezug LederEingebautes NavigationssystemSchiebedachSitzheizungStabilitätskontrolleTempomatIsofixStart-/...
",Hybride,100,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/kia-niro-16gdi-phev--28649279.aspx?view=2&pi=4501&fcid=113&pr=1,St Gallen ,KIA Niro 1.6GDi PHEV,45100.0,2019
28649278,13.04.2019,"
MINI Cooper 3door  Steptronic Getriebe mit Doppelkupplung ** Sondermodell MINI 60 Years Edition** - British Racing Green - MINI Yours Leather Lounge Dark Maroon - MINI 60 Ye...
",Essence,5000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mini-mini-cooper-60-years-edition--28649278.aspx?view=2&pi=4501&fcid=113&pr=1,Meilen,MINI MINI Cooper 60 Years Edition,32900.0,2019
